,words,count
1601,parents,172
1602,hopefully,172
1603,overcooked,172
1604,children,172
1605,gooey,172
1606,baby,172
1607,receive,171
1608,bother,171
1609,campus,171
1610,stuck,171
1611,triple,171
1612,equally,171
1613,pickled,171
1614,crusts,170
1615,changes,170
1616,cash,170
1617,thicker,170
1618,onto,170
1619,waffle,170
1620,starving,170
1621,jalapeños,169
1622,fav,169
1623,wrapped,169
1624,knowing,169
1625,tangy,169
1626,hint,169
1627,picking,169
1628,college,169
1629,kale,169
1630,unlike,169
1631,bathroom,169
1632,ran,168
1633,edge,168
1634,accommodate,168
1635,gorgeous,168
1636,hubby,168
1637,dined,168
1638,tv,167
1639,shame,167
1640,spice,167
1641,burrata,167
1642,effort,167
1643,nachos,167
1644,thoroughly,167
1645,answered,166
1646,bag,166
1647,consistency,166
1648,undercooked,165
1649,johns,165
1650,raw,165
1651,apple,165
1652,woman,165
1653,feta,164
1654,individual,164
1655,industry,164
1656,previous,164
1657,alfredo,164
1658,toast,164
1659,coke,164
1660,dates,164
1661,crave,163
1662,foodheads,163
1663,anytime,163
1664,courteous,163
1665,celebrate,163
1666,dropped,163
1667,locals,163
1668,passed,163
1669,seasonal,162
1670,bun,162
1671,strip,162
1672,papa,162
1673,partner,162
1674,electric,162
1675,shit,162
1676,vinaigrette,161
1677,relatively,161
1678,social,161
1679,trendy,160
1680,hearing,160
1681,tend,160
1682,impeccable,159
1683,among,159
1684,followed,159
1685,lives,159
1686,confused,159
1687,artichokes,159
1688,art,159
1689,meant,159
1690,following,159
1691,guest,159
1692,hearty,158
1693,joke,158
1694,zucchini,158
1695,pretzel,158
1696,hardly,158
1697,jellyfish,157
1698,regardless,157
1699,oak,157
1700,hits,157
1701,fully,157
1702,hair,157
1703,fave,156
1704,informed,156
1705,serious,156
1706,sick,156
1707,outdoors,156
1708,snob,156
1709,13,156
1710,distance,156
1711,wants,156
1712,helping,156
1713,view,156
1714,comfort,156
1715,sun,155
1716,ruined,155
1717,truffled,155
1718,newks,155
1719,rushed,155
1720,sounded,154
1721,hip,154
1722,pros,154
1723,cons,154
1724,spoke,154
1725,depending,154
1726,buds,154
1727,bottles,154
1728,threw,154
1729,drove,154
1730,overwhelming,153
1731,send,153
1732,tuna,153
1733,annoying,153
1734,hill,152
1735,shows,152
1736,fold,152
1737,state,152
1738,apologized,152
1739,cookies,152
1740,ball,152
1741,inch,152
1742,keeping,152
1743,question,151
1744,lacked,151
1745,rate,151
1746,hole,151
1747,anyways,151
1748,pull,151
1749,ways,151
1750,breast,151
1751,areas,151
1752,killer,151
1753,dollar,151
1754,personable,150
1755,bright,150
1756,slight,150
1757,agreed,150
1758,compare,150
1759,23,150
1760,happens,149
1761,massive,149
1762,charming,149
1763,mini,149
1764,esp,149
1765,ut,149
1766,central,149
1767,neither,149
